Registro|Codigo Materia
884392|241
884392|242
884392|243
884392|244
884392|245
884392|246
884392|247
884392|248
884392|249
884392|250
884392|252
884392|1275
884392|274
884392|276
873482|241
873482|242
873482|243
873482|244
873482|245
873482|246
873482|247
873482|248
885439|241
885439|242
885439|243
885439|244
885439|245
885439|246
885439|247
885439|248
885439|249
885439|261
885439|262
885439|284
885439|283
885439|285
885439|286
885439|287
885439|288
864835|241
864835|242
864835|243
864835|244
864835|245
864835|246
864835|247
864835|248
864835|249
864835|250
864835|251
864835|252
864835|273
864835|274
864835|275
864835|276
864835|277
864835|278
864835|279
871249|241
871249|242
871249|243
871249|244
871249|245
871249|246
871249|247
871249|248
871249|249
871249|261
871249|262
871249|284
871249|273
871249|276
871249|279
871249|283
871249|285
871249|286
884540|241
884540|242
884540|243
884540|244
884540|245
884540|246
884540|247
884540|248
884540|249
884540|250
875219|241
875219|242
875219|243
875219|244
875219|245
875219|246
875219|247
875219|248
875219|249
875219|250
875219|251
875219|252
875219|273
875219|274
875219|275
875219|276
875219|278
875219|279
875219|351
875219|353
875219|354
875219|355
875219|356
875219|357
875219|362
875219|1330
875219|1352
875219|1359
875219|1360
885971|241
885971|242
885971|243
885971|244
885971|245
885971|246
885971|247
885971|248
885971|249
885971|250
885971|251
885971|252
885971|273
885971|274
885971|275
885971|276
885971|277
885971|278
873759|241
873759|242
873759|243
873759|244
873759|245
873759|246
873759|247
873759|248
873759|249
873759|261
873759|262
873759|284
873759|273
873759|276
873759|279
873759|283
873759|285
873759|286
873759|287
873759|288
873759|289
873759|290
873759|552
862764|241
862764|242
862764|243
862764|244
862764|245
862764|246
862764|247
862764|248
862764|249
862764|250
862764|251
862764|252
862764|273
862764|274
862764|275
882853|241
882853|242
882853|243
882853|244
882853|245
882853|246
882853|247
882853|248
882853|249
882853|261
882853|262
882853|284
882853|283
882853|285
882853|286
882853|287
882853|288
882853|289
882853|290
882853|551
882853|552
882853|553
882853|554
882853|555
882853|556
882853|557
882853|558
882853|559
882853|560
884951|241
884951|242
884951|243
884951|244
884951|245
884951|246
884951|247
884951|248
884951|249
884951|250
884951|251
892058|241
892058|242
892058|243
892058|244
892058|245
892058|246
861048|241
861048|242
861048|243
861048|244
861048|245
861048|246
861048|247
861048|248
861048|249
861048|250
861048|252
861048|1275
861048|274
861048|276
861048|277
861048|278
861048|279
861048|452
861048|457
861048|651
861048|655
861048|657
861048|658
861048|740
861048|1601
861048|1603
861048|1604
883850|241
883850|242
883850|243
883850|244
883850|245
883850|246
881053|241
881053|242
881053|243
881053|244
881053|245
881053|246
881053|247
881053|248
881053|249
881053|261
881053|262
881053|284
881053|283
881053|285
881053|286
881053|287
881053|288
881053|289
881053|290
881053|551
881053|552
881053|553
881053|554
881053|555
881053|556
881053|557
881053|558
881053|559
881053|560
881053|561
