CodCarrera|Carrera|CodMateria|Materia
1|Sistemas|241|Análisis Matemático
1|Sistemas|242|Economía
1|Sistemas|243|Sociología
1|Sistemas|244|Metodología de las Ciencias Sociales
1|Sistemas|245|Álgebra
1|Sistemas|246|Historia Económica y Social General
1|Sistemas|247|Teoría Contable
1|Sistemas|248|Estadística
1|Sistemas|249|Historia Económica y Social Argentina
1|Sistemas|250|Microeconomía
1|Sistemas|252|Administración General
1|Sistemas|1275|Introducción a la Tecnología de la Información y las Comunicaciones
1|Sistemas|274|Sistemas Administrativos
1|Sistemas|276|Cálculo Financiero
1|Sistemas|277|Gestión y Costos
1|Sistemas|278|Macroeconomía y Política Económica
1|Sistemas|279|Administración Financiera
1|Sistemas|452|Sociología de la Organización
1|Sistemas|457|Teoría de la Decisión
1|Sistemas|651|Lógica
1|Sistemas|655|Tecnología de las Comunicaciones
1|Sistemas|657|Sistemas de Datos
1|Sistemas|658|Metodología de los Sistemas de Información
1|Sistemas|740|Redes Informáticas
1|Sistemas|1601|Ingeniería en Software
1|Sistemas|1603|Derecho Informático I
1|Sistemas|1604|Derecho Informático II
1|Sistemas|1652|Teoría de los Lenguajes y Algoritmos
1|Sistemas|1653|Tecnología de los Computadores y Sistemas Operativos
1|Sistemas|1654|Construcción de Aplicaciones Informáticas
1|Sistemas|1659|Auditoría y Seguridad de los Sistemas de Información
1|Sistemas|1660|Actuación Profesional del Licenciado en Sistemas de las Organizaciones
1|Sistemas|1799|Gestión de Recursos Informáticos
2|Contador|241|Análisis Matemático I
2|Contador|242|Economía
2|Contador|243|Sociología
2|Contador|244|Metodología de las Ciencias Sociales
2|Contador|245|Álgebra
2|Contador|246|Historia Económica y Social General
2|Contador|247|Teoría Contable
2|Contador|248|Estadística I
2|Contador|249|Historia Económica y Social Argentina
2|Contador|250|Microeconomía I
2|Contador|251|Instituciones de Derecho Público
2|Contador|252|Administración General
2|Contador|273|Instituciones de Derecho Privado
2|Contador|274|Sistemas Administrativos
2|Contador|275|Tecnología de la Información
2|Contador|276|Cálculo Financiero
2|Contador|278|Macroeconomía y Política Económica
2|Contador|279|Administración Financiera
2|Contador|351|Sistemas Contables
2|Contador|353|Sistemas de Costos
2|Contador|354|Derecho del Trabajo y la Seguridad Social
2|Contador|355|Auditoría
2|Contador|356|Teoría y Técnica Impositiva I
2|Contador|357|Teoría y Técnica Impositiva II
2|Contador|362|Gestión y Costos para Contadores
2|Contador|1330|Contabilidad Social y Ambiental
2|Contador|1352|Contabilidad Financiera
2|Contador|1359|Derecho Económico
2|Contador|1360|"Derecho Crediticio| Bursátil e Insolvencia"
2|Contador|1374|Contabilidad Gubernamental y Control de Gestión
2|Contador|1358|Taller de Actuación Profesional Judicial
2|Contador|1361|Taller de Práctica Profesional en Organizaciones
3|Administracion|241|Análisis Matemático I
3|Administracion|242|Economía
3|Administracion|243|Sociología
3|Administracion|244|Metodología de las Ciencias Sociales
3|Administracion|245|Álgebra
3|Administracion|246|Historia Económica y Social General
3|Administracion|247|Teoría Contable
3|Administracion|248|Estadística I
3|Administracion|249|Historia Económica y Social Argentina
3|Administracion|250|Microeconomía I
3|Administracion|251|Instituciones de Derecho Público
3|Administracion|252|Administración General
3|Administracion|273|Instituciones de Derecho Privado
3|Administracion|274|Sistemas Administrativos
3|Administracion|275|Tecnología de la Información
3|Administracion|276|Cálculo Financiero
3|Administracion|277|Gestión y Costos
3|Administracion|278|Macroeconomía y Política Económica
3|Administracion|279|Administración Financiera
3|Administracion|451|Estadística para Administradores
3|Administracion|452|Sociología de la Organización
3|Administracion|453|Administración de la Producción
3|Administracion|454|Administración del Personal
3|Administracion|455|Régimen Tributario
3|Administracion|456|Comercialización
3|Administracion|457|Teoría de la Decisión
3|Administracion|458|Planeamiento a Largo Plazo
3|Administracion|459|Dirección General
3|Administracion|460|Seminario de Integración y Aplicación
4|Economia|241|Análisis Matemático I
4|Economia|242|Economía
4|Economia|243|Sociología
4|Economia|244|Metodología de las Ciencias Sociales
4|Economia|245|Álgebra
4|Economia|246|Historia Económica y Social General
4|Economia|247|Teoría Contable
4|Economia|248|Estadística I
4|Economia|249|Historia Económica y Social Argentina
4|Economia|261|Teoría Política y Derecho Público
4|Economia|262|Macroeconomía I
4|Economia|284|Análisis Matemático II
4|Economia|283|Macroeconomía II
4|Economia|285|Estadística II
4|Economia|286|Microeconomía II
4|Economia|287|Geografía Económica
4|Economia|288|Matemática para Economistas
4|Economia|289|Epistemología de la Economía
4|Economia|290|Microeconomía I (para Economistas)
4|Economia|551|Econometría
4|Economia|552|"Dinero| Crédito y Bancos"
4|Economia|553|Historia del Pensamiento Económico
4|Economia|554|Crecimiento Económico
4|Economia|555|Organización Industrial
4|Economia|556|Finanzas Públicas
4|Economia|557|Estructura Social Argentina
4|Economia|558|Economía Internacional
4|Economia|559|Desarrollo Económico
4|Economia|560|Estructura Económica Argentina
4|Economia|561|Cuentas Nacionales
4|Economia|562|Seminario de Integración y Aplicación
5|Actuario Admin|241|Análisis Matemático I
5|Actuario Admin|242|Economía
